DATAFLOW,LAST UPDATE,freq,n_person,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,AT,2011,36.3,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,AT,2012,36.5,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,AT,2013,36.7,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,AT,2014,37.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,AT,2015,37.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,AT,2016,37.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,AT,2017,37.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,AT,2018,37.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,AT,2019,37.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,AT,2020,37.7,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,AT,2011,28.7,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,AT,2012,28.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,AT,2013,28.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,AT,2014,29.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,AT,2015,29.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,AT,2016,30.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,AT,2017,30.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,AT,2018,30.3,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,AT,2019,30.3,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,AT,2020,30.3,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,AT,2011,15.6,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,AT,2012,15.5,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,AT,2013,15.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,AT,2014,15.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,AT,2015,15.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,AT,2016,15.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,AT,2017,15.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,AT,2018,14.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,AT,2019,14.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,AT,2020,14.6,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,AT,2011,12.5,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,AT,2012,12.6,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,AT,2013,12.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,AT,2014,12.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,AT,2015,12.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,AT,2016,11.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,AT,2017,11.3,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,AT,2018,11.5,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,AT,2019,11.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,AT,2020,11.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,AT,2011,4.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,AT,2012,4.7,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,AT,2013,4.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,AT,2014,4.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,AT,2015,4.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,AT,2016,4.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,AT,2017,4.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,AT,2018,4.6,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,AT,2019,4.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,AT,2020,4.6,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,AT,2011,2.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,AT,2012,2.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,AT,2013,2.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,AT,2014,2.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,AT,2015,1.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,AT,2016,1.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,AT,2017,1.6,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,AT,2018,1.5,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,AT,2019,1.7,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,AT,2020,1.5,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BE,2011,34.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BE,2012,34.7,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BE,2013,34.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BE,2014,34.3,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BE,2015,34.5,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BE,2016,34.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BE,2017,34.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BE,2018,34.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BE,2019,34.6,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BE,2020,34.8,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BE,2011,31.5,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BE,2012,31.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BE,2013,31.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BE,2014,31.3,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BE,2015,31.5,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BE,2016,31.7,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BE,2017,31.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BE,2018,31.3,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BE,2019,31.9,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BE,2020,32.2,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,BE,2011,14.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,BE,2012,14.6,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,BE,2013,15.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,BE,2014,14.5,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,BE,2015,14.3,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,BE,2016,14.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,BE,2017,14.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,BE,2018,14.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,BE,2019,14.2,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,BE,2020,13.8,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BE,2011,11.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BE,2012,11.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BE,2013,12.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BE,2014,13.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BE,2015,13.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BE,2016,12.5,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BE,2017,12.5,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BE,2018,12.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BE,2019,12.4,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BE,2020,12.5,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BE,2011,5.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BE,2012,5.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BE,2013,4.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BE,2014,4.7,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BE,2015,4.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BE,2016,5.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BE,2017,5.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BE,2018,5.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BE,2019,4.8,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BE,2020,4.9,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BE,2011,2.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BE,2012,2.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BE,2013,2.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BE,2014,1.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BE,2015,1.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BE,2016,1.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BE,2017,2.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BE,2018,2.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BE,2019,2.1,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BE,2020,2.0,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BG,2011,19.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BG,2012,21.6,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BG,2013,22.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BG,2014,24.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BG,2015,28.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BG,2016,30.5,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BG,2017,31.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BG,2018,33.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BG,2019,34.3,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,BG,2020,35.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BG,2011,26.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BG,2012,28.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BG,2013,28.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BG,2014,28.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BG,2015,28.5,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BG,2016,28.2,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BG,2017,28.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BG,2018,27.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BG,2019,27.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,BG,2020,26.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,BG,2011,20.4,
