country,E,m^2/E,$\alpha$,$R_{out}$
Albania,3.63,4.23,"0.43 [0.24, 0.74]","0.87 [0.73, 1.36]"
Austria,2.2,2.93,"0.13 [0.09, 0.19]","0.79 [0.77, 0.82]"
Belgium,2.27,3.01,"0.21 [0.14, 0.29]","0.83 [0.78, 0.88]"
Bulgaria,2.37,3.15,"0.40 [0.26, 0.59]","0.96 [0.84, 1.18]"
Croatia,2.71,3.46,"0.20 [0.13, 0.29]","0.77 [0.73, 0.83]"
Cyprus,2.64,3.31,"0.06 [0.04, 0.09]","0.71 [0.70, 0.73]"
Czechia,2.34,2.96,"0.32 [0.20, 0.47]","0.91 [0.83, 1.05]"
Denmark,1.98,2.64,"0.04 [0.03, 0.06]","0.77 [0.77, 0.78]"
Estonia,2.11,2.85,"0.09 [0.06, 0.12]","0.77 [0.76, 0.79]"
Finland,1.96,2.65,"0.02 [0.01, 0.03]","0.76 [0.76, 0.76]"
France,2.14,2.82,"0.14 [0.10, 0.19]","0.81 [0.78, 0.84]"
Germany,2.0,2.64,"0.09 [0.06, 0.13]","0.80 [0.78, 0.82]"
Greece,2.55,3.22,"0.10 [0.07, 0.13]","0.74 [0.72, 0.76]"
Hungary,2.3,3.02,"0.33 [0.22, 0.49]","0.92 [0.83, 1.06]"
Iceland,2.32,3.1,"0.01 [0.01, 0.02]","0.71 [0.71, 0.71]"
Ireland,2.62,3.38,"0.13 [0.08, 0.19]","0.74 [0.72, 0.78]"
Italy,2.3,2.95,"0.19 [0.13, 0.26]","0.82 [0.79, 0.87]"
Latvia,2.24,2.96,"0.13 [0.09, 0.19]","0.79 [0.76, 0.82]"
Lithuania,2.16,2.83,"0.17 [0.12, 0.25]","0.82 [0.79, 0.87]"
Luxembourg,2.28,2.95,"0.16 [0.10, 0.22]","0.80 [0.77, 0.84]"
Malta,2.46,3.14,"0.09 [0.06, 0.13]","0.74 [0.73, 0.77]"
Montenegro,3.26,4.06,"0.36 [0.22, 0.54]","0.83 [0.73, 1.02]"
Netherlands,2.14,2.86,"0.12 [0.08, 0.17]","0.79 [0.77, 0.82]"
North Macedonia,3.52,4.14,"0.38 [0.22, 0.61]","0.84 [0.72, 1.11]"
Norway,1.97,2.68,"0.02 [0.01, 0.02]","0.76 [0.75, 0.76]"
Poland,2.76,3.56,"0.32 [0.20, 0.46]","0.85 [0.77, 0.97]"
Portugal,2.46,3.01,"0.16 [0.11, 0.23]","0.80 [0.77, 0.84]"
Romania,2.57,3.38,"0.27 [0.17, 0.38]","0.83 [0.76, 0.92]"
Serbia,2.84,3.62,"0.25 [0.16, 0.37]","0.79 [0.74, 0.88]"
Slovakia,2.86,3.56,"0.33 [0.20, 0.50]","0.85 [0.77, 1.01]"
Slovenia,2.44,3.13,"0.20 [0.13, 0.29]","0.81 [0.77, 0.87]"
Spain,2.49,3.11,"0.19 [0.13, 0.26]","0.80 [0.77, 0.85]"
Sweden,1.98,2.71,"0.13 [0.09, 0.19]","0.82 [0.79, 0.85]"
Switzerland,2.18,2.88,"0.12 [0.08, 0.18]","0.79 [0.77, 0.82]"
United Kingdom,2.31,2.98,"0.24 [0.16, 0.34]","0.85 [0.80, 0.93]"
