Country,Date,Covid Deaths,Surplus Deaths,Max Deaths,Overall Deaths
Bulgaria,2020W03,0.0,0.0,0.0004345117142228278,0.00031417406486588395
Sweden,2020W03,0.0,0.0,0.00021008386708240432,0.00017804677485320534
Netherlands,2020W03,0.0,0.0,0.00020783684378148832,0.00018357217840034128
Italy,2020W03,0.0,0.0,0.0003048470002225774,0.00023356208360810193
Poland,2020W03,0.0,0.0,0.0002586991597434462,0.00021814657633509752
Malta,2020W03,0.0,0.0,0.00023068575597233506,0.00017632241813602016
Denmark,2020W03,0.0,0.0,0.00019874839021891613,0.00019052364607921116
Austria,2020W03,0.0,0.0,0.0002534072577652801,0.00018990228820129506
France,2020W03,0.0,0.0,0.0002317714515210175,0.0001933782879469811
Hungary,2020W03,0.0,0.0,0.00033867230530600675,0.0002665427436452798
Finland,2020W03,0.0,0.0,0.00023341826943668574,0.00019136964465421818
Greece,2020W03,0.0,0.0,0.00032528357902815,0.0002660140986848003
Lithuania,2020W03,0.0,0.0,0.00034005672106716603,0.00028639424636105225
Slovenia,2020W03,0.0,0.0,0.0002567157211905682,0.00020167755899345196
Czechia,2020W03,0.0,0.0,0.00026470635662097003,0.00021410774428707807
Albania,2020W03,0.0,0.0,0.000265715455652632,0.00017504546646966395
Germany,2020W03,0.0,0.0,0.00025945925948789067,0.00022946697396256557
Spain,2020W03,0.0,0.0,0.0002426737571307727,0.00019708700137560046
Iceland,2020W03,0.0,0.0,0.00016446525578496074,0.00014823170423074975
Slovakia,2020W03,0.0,0.0,0.0002581577896562516,0.00020403748795052402
United Kingdom,2020W03,0.0,0.0,0.00025542059954943713,0.00022220517722258294
Croatia,2020W03,0.0,0.0,0.00036795135135623413,0.0002564194675641761
Liechtenstein,2020W03,0.0,0.0,0.0002382987206252205,9.388469252763197e-05
Latvia,2020W03,0.0,0.0,0.0003507500689747696,0.00030477128156588
Luxembourg,2020W03,0.0,0.0,0.00018091710345129145,0.00012551268518372642
Norway,2020W03,0.0,0.0,0.0001894353160485812,0.00016390394845291922
Belgium,2020W03,0.0,0.0,0.00023241087745903027,0.00020009057733487833
Portugal,2020W03,0.0,0.0,0.00030863556963020274,0.0002563541851568596
Europe**,2020W03,0.0,0.0,0.0002622226429211204,0.00021978886515723278
Serbia,2020W03,0.0,0.0,0.0004561241463055015,0.0003135635493239974
Romania,2020W03,0.0,0.0,0.00034843819134196144,0.0002802014395073371
North Macedonia,2020W03,0.0,0.0,0.0,0.0
Montenegro,2020W03,0.0,0.0,0.00031280915589390623,0.00018741102674929935
