Pearson r,Semipartial r,Pearson p,Semipartial p
-0.8018046990913803,-0.6765761560158803,7.0776563246415245e-09,8.121196671173427e-06
-0.7747172841556464,-0.7289611892772769,4.7094047876360824e-08,6.836047419391989e-07
-0.7969840707348291,-0.6982017115971052,1.0122767660033183e-08,3.1140855169861754e-06
-0.7846145168517225,-0.7229412228147238,2.431330093601734e-08,9.342850995753641e-07
-0.7771331434995161,-0.7340655753314851,4.0199504249582874e-08,5.211359631934202e-07
-0.7967447543945945,-0.6869298392389194,1.0301644707528787e-08,5.184390218774047e-06
-0.7779819330655231,-0.7274799509874412,3.800724032302629e-08,7.387819476331237e-07
-0.7939701670781192,-0.7068469670817221,1.2600210087833504e-08,2.073249880009883e-06
-0.7941393497835059,-0.6977411684448527,1.2447498823875874e-08,3.181050691760204e-06
-0.7943807457521374,-0.6999915489478278,1.2232565342876632e-08,2.8658782887715843e-06
-0.8016416041644168,-0.6724063719974394,7.164999915439084e-09,9.681977364920446e-06
-0.7841722076502269,-0.7213474292371511,2.5060632969317456e-08,1.0134818315204824e-06
-0.7873967326180007,-0.7270656441554004,2.0064762267747758e-08,7.549300514481595e-07
-0.7811407087118803,-0.7311241188352955,3.078179818572252e-08,6.097997899431504e-07
-0.782241795356418,-0.7329520446204476,2.8577286434099036e-08,5.532058233367048e-07
-0.7882275141599436,-0.7056051332988842,1.8936007598745128e-08,2.199954268273188e-06
-0.7931116235415083,-0.6929645140309171,1.340221348865934e-08,3.957415813170248e-06
-0.7753760185982487,-0.7283155850521044,4.51133036077857e-08,7.071717474946358e-07
-0.7938049159611844,-0.7070962214188556,1.2751042759004667e-08,2.0486371180549906e-06
-0.7891492261398333,-0.7121861978878157,1.7752525057118993e-08,1.6009505593907157e-06
-0.7967627314967071,-0.7130701068811212,1.02881068664299e-08,1.5330295912436665e-06
-0.7661741771743826,-0.7369961251556935,8.118831114514636e-08,4.447139003178415e-07
-0.7826839324631578,-0.7232122204709205,2.7733830375012926e-08,9.213975944569685e-07
-0.7683649814878082,-0.7379638449752153,7.076049268093498e-08,4.218331474730096e-07
-0.8016378424747004,-0.6023280653455951,7.167026158475893e-09,0.00012895792283021819
-0.7957389830258013,-0.6983881545499802,1.108583122135595e-08,3.0873438771565786e-06
-0.7972401354850175,-0.7097787809303512,9.934555570971737e-09,1.8001452297181435e-06
-0.7807975107023568,-0.7327782389125158,3.150036458028332e-08,5.583717738263189e-07
-0.7730883502399775,-0.7320865058336695,5.234157852104833e-08,5.793736275399241e-07
-0.7828582487301221,-0.7234829825837934,2.7407654383515732e-08,9.086842007300691e-07
-0.7735272963565586,-0.734783487732088,5.0876873276016706e-08,5.013743813727362e-07
-0.7879455077402839,-0.7255967088416313,1.931241000964238e-08,8.148272898815449e-07
-0.7883440457901678,-0.7295190638870593,1.8782457556288904e-08,6.638227582600941e-07
-0.787528909023186,-0.7240826501415975,1.9881117963259763e-08,8.810977205607711e-07
-0.7909809310159828,-0.7193056656321799,1.560084107338845e-08,1.1239209960124987e-06
-0.7821626630361831,-0.7354785742472177,2.8730720971893377e-08,4.828988110187396e-07
-0.7777416848636644,-0.7341049232783806,3.861628650086513e-08,5.200346037134344e-07
-0.7832543061706212,-0.7198851472643658,2.667968354763996e-08,1.0915067757720823e-06
-0.7861050328059056,-0.7269227172498189,2.1943761561657635e-08,7.605754583470497e-07
-0.7845212920155806,-0.7104998332083379,2.4469081628321634e-08,1.7382277051301938e-06
-0.7895635083683001,-0.7266825662950765,1.7243175429247535e-08,7.701483137404341e-07
-0.7848780877209397,-0.7306728863627643,2.387780944274159e-08,6.245645124225419e-07
-0.7851687921159818,-0.7255561715850563,2.3405846762107877e-08,8.165403538516431e-07
-0.7972262488253896,-0.6745576644097283,9.944678945413239e-09,8.845598855365568e-06
-0.7795691560842526,-0.7298141774113185,3.420102196360143e-08,6.535718560774405e-07
-0.7803841106943852,-0.71715430810004,3.238646376378791e-08,1.2521272962893288e-06
-0.7871919505493434,-0.7262372801384334,2.0352380644334024e-08,7.881911470554735e-07
-0.7959390620772959,-0.6733822519265271,1.0925567866124803e-08,9.294047182684396e-06
-0.7844558484067555,-0.7154980502636941,2.4578989341060716e-08,1.3598047114959043e-06
-0.7945065841327963,-0.7045182493983766,1.2121887042689827e-08,2.3166169389293237e-06
-0.7813143503918107,-0.7180447520420377,3.042403107622617e-08,1.1975207258767431e-06
-0.78900378143757,-0.724439120874216,1.7934617467666397e-08,8.650650111232354e-07
-0.7810424120889206,-0.7298486619586457,3.098604358410479e-08,6.523835436542394e-07
-0.7867291667762073,-0.7294876532184711,2.101644830897033e-08,6.649224617160275e-07
-0.777172086965644,-0.72695861343622,4.0096420013854003e-08,7.591539819094136e-07
-0.7890358875660144,-0.712700125960353,1.7894273780248667e-08,1.5611319242959113e-06
-0.7992601188625075,-0.6640567352421142,8.559398143841559e-09,1.3654556754646741e-05
-0.7927129167959637,-0.6739202284228063,1.3790480385831793e-08,9.08629049555353e-06
-0.7873709643595499,-0.7206326412246398,2.010074638136617e-08,1.0509595299125533e-06
-0.7821133680685042,-0.731540525331474,2.8826686091022286e-08,5.964594316597953e-07
-0.8018959866084889,-0.587106748028684,7.029199367300963e-09,0.00020934548095750808
-0.7862368395019571,-0.716977672686259,2.1744837534714084e-08,1.2632268228036425e-06
-0.7964339537857076,-0.7261203747001894,1.053831588179667e-08,7.929919206298689e-07
-0.8013303200879767,-0.6701262008486542,7.334478461929317e-09,1.0646448508492057e-05
-0.7712678788944529,-0.7362939610082104,5.88410406499299e-08,4.620232571114136e-07
-0.7913493063976118,-0.7192014475591948,1.5198349334238798e-08,1.1298433022346539e-06
-0.7642367248593429,-0.7364663241951079,9.157153401178326e-08,4.5771790585005783e-07
-0.7868417718902672,-0.7194957593464537,2.0853049394501877e-08,1.1131918964834407e-06
-0.7796878812241277,-0.7180839600589297,3.393095927268282e-08,1.1951672038951162e-06
-0.7994346873404313,-0.6915055661024574,8.449230863048155e-09,4.226906561791099e-06
-0.7792950082235338,-0.7298079321224538,3.483221947556883e-08,6.53787276434449e-07
-0.7990982451925913,-0.6781159098402625,8.662739579823572e-09,7.605384442946341e-06
-0.7839623891710268,-0.7309500023365922,2.5422512196797824e-08,6.154586644029738e-07
-0.7696399475032052,-0.7380027722391524,6.527517094515035e-08,4.209357867850033e-07
-0.7569101602992441,-0.7398496635270647,1.429030592001135e-07,3.8032139234316346e-07
-0.7670162225616515,-0.737634465620454,7.702338134459098e-08,4.294967002206288e-07
-0.7900105894154175,-0.7266522640055103,1.6708671890904117e-08,7.713640363097872e-07
-0.7941262925610202,-0.708612173937528,1.2459223602613041e-08,1.9046089173606467e-06
-0.7737151671495623,-0.7244308531432666,5.026160342494833e-08,8.654338126828946e-07
-0.783782077510365,-0.7187677191448676,2.5737348788696904e-08,1.1547987199175578e-06
